time,lat,lon,tmax,tmin
1959-11-08,18.5,73.5,30.8799991607666,21.329999923706055
1959-11-09,18.5,73.5,30.93000030517578,22.170000076293945
1959-11-10,18.5,73.5,31.200000762939453,22.739999771118164
1959-11-11,18.5,73.5,31.200000762939453,21.459999084472656
1959-11-12,18.5,73.5,29.739999771118164,21.610000610351562
1959-11-13,18.5,73.5,30.049999237060547,20.34000015258789
1959-11-14,18.5,73.5,29.969999313354492,20.700000762939453
1959-11-15,18.5,73.5,31.09000015258789,20.360000610351562
1959-11-16,18.5,73.5,31.100000381469727,19.770000457763672
1959-11-17,18.5,73.5,30.1299991607666,18.280000686645508
1959-11-18,18.5,73.5,30.809999465942383,17.200000762939453
1959-11-19,18.5,73.5,30.239999771118164,17.850000381469727
1959-11-20,18.5,73.5,30.260000228881836,17.920000076293945
1959-11-21,18.5,73.5,30.3700008392334,17.40999984741211
1959-11-22,18.5,73.5,30.100000381469727,17.170000076293945
1959-11-23,18.5,73.5,30.059999465942383,16.760000228881836
1959-11-24,18.5,73.5,29.969999313354492,16.420000076293945
1959-11-25,18.5,73.5,31.31999969482422,16.56999969482422
1959-11-26,18.5,73.5,30.459999084472656,17.100000381469727
1959-11-27,18.5,73.5,30.450000762939453,16.68000030517578
1959-11-28,18.5,73.5,30.329999923706055,16.950000762939453
1959-11-29,18.5,73.5,29.56999969482422,17.59000015258789
1959-11-30,18.5,73.5,29.959999084472656,20.399999618530273
1959-12-01,18.5,73.5,30.600000381469727,20.139999389648438
1959-12-02,18.5,73.5,29.670000076293945,19.299999237060547
1959-12-03,18.5,73.5,31.670000076293945,18.719999313354492
1959-12-04,18.5,73.5,30.270000457763672,17.68000030517578
1959-12-05,18.5,73.5,30.479999542236328,16.670000076293945
1959-12-06,18.5,73.5,30.1299991607666,16.399999618530273
1959-12-07,18.5,73.5,31.889999389648438,17.43000030517578
1959-12-08,18.5,73.5,29.860000610351562,17.31999969482422
1959-12-09,18.5,73.5,30.290000915527344,18.420000076293945
1959-12-10,18.5,73.5,30.360000610351562,19.219999313354492
1959-12-11,18.5,73.5,30.559999465942383,19.860000610351562
1959-12-12,18.5,73.5,31.239999771118164,20.709999084472656
1959-12-13,18.5,73.5,30.920000076293945,20.030000686645508
1959-12-14,18.5,73.5,30.489999771118164,18.239999771118164
1959-12-15,18.5,73.5,32.20000076293945,17.329999923706055
1959-12-16,18.5,73.5,32.5,17.219999313354492
1959-12-17,18.5,73.5,30.81999969482422,18.25
1959-12-18,18.5,73.5,29.510000228881836,18.59000015258789
1959-12-19,18.5,73.5,30.940000534057617,18.969999313354492
1959-12-20,18.5,73.5,30.739999771118164,18.889999389648438
1959-12-21,18.5,73.5,30.920000076293945,18.940000534057617
1959-12-22,18.5,73.5,31.15999984741211,16.68000030517578
1959-12-23,18.5,73.5,30.93000030517578,17.030000686645508
1959-12-24,18.5,73.5,30.190000534057617,16.270000457763672
1959-12-25,18.5,73.5,29.399999618530273,15.470000267028809
1959-12-26,18.5,73.5,30.469999313354492,14.050000190734863
1959-12-27,18.5,73.5,30.75,14.970000267028809
1959-12-28,18.5,73.5,31.260000228881836,14.600000381469727
1959-12-29,18.5,73.5,30.469999313354492,15.289999961853027
1959-12-30,18.5,73.5,30.860000610351562,16.780000686645508
1959-12-31,18.5,73.5,30.350000381469727,17.09000015258789
1960-01-01,18.5,73.5,29.239999771118164,17.68000030517578
1960-01-02,18.5,73.5,29.170000076293945,17.940000534057617
1960-01-03,18.5,73.5,28.3799991607666,17.709999084472656
1960-01-04,18.5,73.5,30.030000686645508,18.1299991607666
1960-01-05,18.5,73.5,29.649999618530273,18.100000381469727
1960-01-06,18.5,73.5,29.1200008392334,17.610000610351562
1960-01-07,18.5,73.5,29.549999237060547,18.079999923706055
1960-01-08,18.5,73.5,30.65999984741211,18.530000686645508
1960-01-09,18.5,73.5,30.610000610351562,18.260000228881836
1960-01-10,18.5,73.5,30.899999618530273,17.690000534057617
1960-01-11,18.5,73.5,30.600000381469727,17.209999084472656
1960-01-12,18.5,73.5,30.68000030517578,17.270000457763672
1960-01-13,18.5,73.5,30.360000610351562,17.8799991607666
1960-01-14,18.5,73.5,29.5,14.3100004196167
1960-01-15,18.5,73.5,27.719999313354492,14.619999885559082
1960-01-16,18.5,73.5,27.899999618530273,15.4399995803833
1960-01-17,18.5,73.5,29.489999771118164,15.649999618530273
1960-01-18,18.5,73.5,29.079999923706055,15.430000305175781
1960-01-19,18.5,73.5,28.850000381469727,15.539999961853027
1960-01-20,18.5,73.5,30.1299991607666,15.039999961853027
1960-01-21,18.5,73.5,29.1200008392334,14.380000114440918
1960-01-22,18.5,73.5,28.68000030517578,14.850000381469727
1960-01-23,18.5,73.5,29.889999389648438,16.90999984741211
1960-01-24,18.5,73.5,30.40999984741211,17.219999313354492
1960-01-25,18.5,73.5,30.309999465942383,16.510000228881836
1960-01-26,18.5,73.5,30.559999465942383,16.18000030517578
1960-01-27,18.5,73.5,29.780000686645508,14.34000015258789
1960-01-28,18.5,73.5,29.25,13.210000038146973
1960-01-29,18.5,73.5,29.799999237060547,13.850000381469727
1960-01-30,18.5,73.5,30.059999465942383,14.579999923706055
1960-01-31,18.5,73.5,30.770000457763672,16.469999313354492
1960-02-01,18.5,73.5,30.950000762939453,17.43000030517578
1960-02-02,18.5,73.5,31.1299991607666,17.729999542236328
1960-02-03,18.5,73.5,31.479999542236328,17.170000076293945
1960-02-04,18.5,73.5,31.8799991607666,17.5
1960-02-05,18.5,73.5,32.04999923706055,16.719999313354492
1960-02-06,18.5,73.5,31.760000228881836,16.809999465942383
1960-02-07,18.5,73.5,32.09000015258789,16.5
1960-02-08,18.5,73.5,32.5,14.920000076293945
1960-02-09,18.5,73.5,32.15999984741211,16.06999969482422
1960-02-10,18.5,73.5,32.02000045776367,17.100000381469727
1960-02-11,18.5,73.5,33.08000183105469,17.09000015258789
1960-02-12,18.5,73.5,32.560001373291016,17.459999084472656
1960-02-13,18.5,73.5,33.02000045776367,17.600000381469727
1960-02-14,18.5,73.5,33.47999954223633,17.790000915527344
1960-02-15,18.5,73.5,32.52000045776367,17.75
1960-02-16,18.5,73.5,32.900001525878906,17.0
1960-02-17,18.5,73.5,32.29999923706055,16.670000076293945
1960-02-18,18.5,73.5,31.81999969482422,17.079999923706055
1960-02-19,18.5,73.5,32.11000061035156,17.0
1960-02-20,18.5,73.5,32.34000015258789,17.329999923706055
1960-02-21,18.5,73.5,32.099998474121094,17.219999313354492
1960-02-22,18.5,73.5,32.52000045776367,18.200000762939453
1960-02-23,18.5,73.5,32.4900016784668,17.950000762939453
1960-02-24,18.5,73.5,33.900001525878906,19.450000762939453
1960-02-25,18.5,73.5,34.5,18.90999984741211
1960-02-26,18.5,73.5,34.54999923706055,18.989999771118164
1960-02-27,18.5,73.5,34.130001068115234,19.1299991607666
1960-02-28,18.5,73.5,34.29999923706055,19.829999923706055
1960-02-29,18.5,73.5,32.939998626708984,18.84000015258789
1960-03-01,18.5,73.5,31.989999771118164,16.93000030517578
1960-03-02,18.5,73.5,30.969999313354492,17.75
1960-03-03,18.5,73.5,31.530000686645508,18.040000915527344
1960-03-04,18.5,73.5,32.47999954223633,17.40999984741211
1960-03-05,18.5,73.5,32.060001373291016,19.139999389648438
1960-03-06,18.5,73.5,31.559999465942383,18.729999542236328
1960-03-07,18.5,73.5,30.690000534057617,17.809999465942383
1960-03-08,18.5,73.5,31.280000686645508,19.579999923706055
1960-03-09,18.5,73.5,31.440000534057617,18.219999313354492
1960-03-10,18.5,73.5,31.770000457763672,19.0
1960-03-11,18.5,73.5,30.709999084472656,18.579999923706055
1960-03-12,18.5,73.5,31.219999313354492,18.739999771118164
1960-03-13,18.5,73.5,33.470001220703125,19.770000457763672
1960-03-14,18.5,73.5,33.970001220703125,21.610000610351562
1960-03-15,18.5,73.5,33.65999984741211,20.34000015258789
1960-03-16,18.5,73.5,34.2400016784668,20.579999923706055
1960-03-17,18.5,73.5,33.689998626708984,19.690000534057617
1960-03-18,18.5,73.5,32.90999984741211,21.270000457763672
1960-03-19,18.5,73.5,33.650001525878906,20.8700008392334
1960-03-20,18.5,73.5,33.220001220703125,21.440000534057617
1960-03-21,18.5,73.5,32.810001373291016,19.440000534057617
1960-03-22,18.5,73.5,30.889999389648438,16.170000076293945
1960-03-23,18.5,73.5,30.260000228881836,15.649999618530273
1960-03-24,18.5,73.5,32.720001220703125,18.81999969482422
1960-03-25,18.5,73.5,35.16999816894531,21.280000686645508
1960-03-26,18.5,73.5,35.099998474121094,21.850000381469727
1960-03-27,18.5,73.5,34.790000915527344,21.40999984741211
1960-03-28,18.5,73.5,34.7599983215332,22.739999771118164
1960-03-29,18.5,73.5,34.93000030517578,21.040000915527344
1960-03-30,18.5,73.5,33.880001068115234,21.5
1960-03-31,18.5,73.5,33.97999954223633,21.15999984741211
1960-04-01,18.5,73.5,34.709999084472656,21.170000076293945
1960-04-02,18.5,73.5,35.36000061035156,21.59000015258789
1960-04-03,18.5,73.5,35.7599983215332,22.469999313354492
1960-04-04,18.5,73.5,34.84000015258789,21.670000076293945
1960-04-05,18.5,73.5,34.599998474121094,23.440000534057617
1960-04-06,18.5,73.5,35.029998779296875,23.020000457763672
1960-04-07,18.5,73.5,35.400001525878906,23.190000534057617
1960-04-08,18.5,73.5,35.06999969482422,22.010000228881836
1960-04-09,18.5,73.5,34.220001220703125,20.600000381469727
1960-04-10,18.5,73.5,33.630001068115234,21.600000381469727
1960-04-11,18.5,73.5,34.16999816894531,21.889999389648438
1960-04-12,18.5,73.5,35.970001220703125,22.110000610351562
1960-04-13,18.5,73.5,36.119998931884766,22.049999237060547
1960-04-14,18.5,73.5,36.65999984741211,22.43000030517578
1960-04-15,18.5,73.5,35.90999984741211,23.25
1960-04-16,18.5,73.5,34.7400016784668,23.229999542236328
1960-04-17,18.5,73.5,35.36000061035156,23.3700008392334
1960-04-18,18.5,73.5,34.7599983215332,22.959999084472656
1960-04-19,18.5,73.5,34.36000061035156,22.40999984741211
1960-04-20,18.5,73.5,33.66999816894531,22.950000762939453
1960-04-21,18.5,73.5,35.290000915527344,24.06999969482422
1960-04-22,18.5,73.5,36.939998626708984,23.65999984741211
1960-04-23,18.5,73.5,36.43000030517578,24.84000015258789
1960-04-24,18.5,73.5,36.63999938964844,24.790000915527344
1960-04-25,18.5,73.5,37.04999923706055,25.350000381469727
1960-04-26,18.5,73.5,36.34000015258789,25.399999618530273
1960-04-27,18.5,73.5,35.150001525878906,24.860000610351562
1960-04-28,18.5,73.5,35.470001220703125,25.399999618530273
